Feature,Mean_Absolute_SHAP
ddl_filing_judge_id_401.0,0.0
ddl_filing_judge_id_402.0,0.0
ddl_filing_judge_id_411.0,0.0
ddl_filing_judge_id_429.0,0.0
ddl_filing_judge_id_430.0,0.0
ddl_filing_judge_id_431.0,0.0
ddl_filing_judge_id_432.0,0.0
ddl_filing_judge_id_460.0,0.0
ddl_filing_judge_id_480.0,0.0
female_petitioner_clean_MISSING,0.0
ddl_filing_judge_id_497.0,0.0
ddl_filing_judge_id_372.0,0.0
ddl_filing_judge_id_356.0,0.0
court_str_CHIEF JUDICIAL MAGISTRATE BULDANA.,0.0
ddl_filing_judge_id_353.0,0.0
"court_str_C.J.J.D. AND J.M.F.C., DHADGAON/AKRANI",0.0
ddl_filing_judge_id_300.0,0.0
ddl_filing_judge_id_301.0,0.0
district_str_Nandurbar,0.0
ddl_filing_judge_id_311.0,0.0
district_str_Jalgaon,0.0
ddl_filing_judge_id_321.0,0.0
district_str_Dhule,0.0
district_str_Buldhana,0.0
state_str_Maharashtra,0.0
ddl_filing_judge_id_324.0,0.0
ddl_filing_judge_id_325.0,0.0
ddl_filing_judge_id_332.0,0.0
ddl_filing_judge_id_333.0,0.0
ddl_filing_judge_id_338.0,0.0
court_no_22,0.0
ddl_filing_judge_id_351.0,0.0
court_no_20,0.0
ddl_filing_judge_id_352.0,0.0
case_type_str_mp,0.0
case_type_str_execution,0.0
case_type_str_motor vehicle  act,0.0
type_name_3324,0.0
type_name_3780,0.0
type_name_3783,0.0
type_name_3785,0.0
type_name_3792,0.0
type_name_3810,0.0
type_name_3881,0.0
type_name_3941,0.0
type_name_3952,0.0
type_name_3955,0.0
type_name_3957,0.0
type_name_3974,0.0
type_name_4027,0.0
type_name_4043,0.0
type_name_4120,0.0
type_name_4130,0.0
type_name_3711,0.0
type_name_3710,0.0
type_name_3698,0.0
type_name_3472,0.0
type_name_3375,0.0
type_name_3377,0.0
type_name_3383,0.0
type_name_3414,0.0
type_name_3433,0.0
type_name_3434,0.0
type_name_3483,0.0
type_name_3696,0.0
type_name_3490,0.0
type_name_3530,0.0
type_name_3569,0.0
type_name_3575,0.0
type_name_3634,0.0
type_name_3670,0.0
type_name_4298,0.0
type_name_4299,0.0
type_name_4306,0.0
type_name_5089,0.0
type_name_4873,0.0
type_name_4903,0.0
type_name_4904,0.0
type_name_4938,0.0
type_name_4942,0.0
type_name_4968,0.0
type_name_5090,0.0
type_name_4828,0.0
type_name_5174,0.0
type_name_5183,0.0
type_name_5208,0.0
type_name_5212,0.0
type_name_5251,0.0
type_name_5252,0.0
type_name_4831,0.0
type_name_479,0.0
type_name_4427,0.0
type_name_4612,0.0
type_name_4434,0.0
type_name_448,0.0
type_name_4518,0.0
type_name_4570,0.0
type_name_4607,0.0
type_name_4609,0.0
type_name_4630,0.0
type_name_4784,0.0
type_name_4635,0.0
type_name_4674,0.0
type_name_4675,0.0
type_name_4703,0.0
type_name_4721,0.0
type_name_4725,0.0
type_name_3369,0.0
type_name_3323,0.0
type_name_5288,0.0
type_name_3322,0.0
type_name_1676,0.0
type_name_1678,0.0
type_name_1704,0.0
type_name_1736,0.0
type_name_1844,0.0
type_name_1845,0.0
type_name_1857,0.0
type_name_1864,0.0
type_name_1869,0.0
type_name_1903,0.0
type_name_1904,0.0
type_name_1905,0.0
type_name_1913,0.0
type_name_1914,0.0
type_name_1916,0.0
type_name_1645,0.0
type_name_1633,0.0
type_name_1590,0.0
type_name_1217,0.0
filing_quarter,0.0
type_name_1000,0.0
type_name_1068,0.0
type_name_1101,0.0
type_name_1105,0.0
type_name_1212,0.0
type_name_1228,0.0
type_name_1447,0.0
type_name_1247,0.0
type_name_1250,0.0
type_name_1259,0.0
type_name_1425,0.0
type_name_1426,0.0
type_name_1435,0.0
type_name_1917,0.0
type_name_1928,0.0
type_name_1936,0.0
type_name_3202,0.0
type_name_2838,0.0
type_name_2843,0.0
type_name_2879,0.0
type_name_2881,0.0
type_name_3001,0.0
type_name_3120,0.0
type_name_3221,0.0
type_name_2805,0.0
type_name_3228,0.0
type_name_3257,0.0
type_name_3262,0.0
type_name_3263,0.0
type_name_3291,0.0
type_name_3292,0.0
type_name_2832,0.0
type_name_2706,0.0
type_name_1999,0.0
type_name_2397,0.0
type_name_2113,0.0
type_name_2116,0.0
type_name_2182,0.0
type_name_2191,0.0
type_name_2297,0.0
type_name_2326,0.0
type_name_2411,0.0
type_name_2595,0.0
type_name_2455,0.0
type_name_2465,0.0
type_name_2526,0.0
type_name_2536,0.0
type_name_2537,0.0
type_name_2544,0.0
type_name_5263,0.0
type_name_5290,0.0
case_type_str_money suit,0.0
